tweet_id,tweet_text
1,Good night #Twitter Off(:
2,@DerekHousman holler boooooo! haha I founnndddd you 
3,"goddamn you Danny, i started your video then realize its 11 fucking minutes, I WANNA GO TO BED!!! lol i do love his Video Diaries though! "
4,@aikabelle LOL yeah at least if you're watching that stuff... Don't tell anybody 
5,@hzell good luck!!!! 
6,@pepstein Type it on the blog post and print it 
7,"Anxiously awaiting June 28th, it  can not come soon enough (my graduation ceremony).  Am not looking forward to the 10th end of my break "
8,JOIN OUR #TT ON #TWITTER FOLLOW @ThisIsYungFRESH & @macDej #TT #RatchetSymptoms
9,@starrkissed hope you feel better  J
10,"@levimorales glad you liked! That Henry Ford had a good idea every now and then, didn't he? "
11,@materialBITCH totally real! Theres no way that was faked! Aweosme though  HA
12,"RT @SharonHayes: Top 50 #Twitter Acronyms, Abbreviations and InitialismsÂ http://t.co/nEqHcJsYÂ Â /via @ruhanirabin"
13,"soon, i'm going to bed "
14,"@kameelahwrites phew! all that hair, gyal! "
15,New #microsoft #WindowsLiveBook V2 Mobile Video + #GraphicsWorkstation http://t.co/LcUvLvAd
16,@islandnene83 well you didnt even consult me to see what my plans were. maybe they changed...and they did. so thanks.   
17,There is a chance? #Microsoft and #Mobile http://t.co/p4ChgGwg
18,"@esotericsean heh, thanks for advertising my skills "
19,sitting here watching a lovely young man watch anime on youtube   Sweet  He's so interesting 
20,"@ma_shinka go on, Mary's listening "
21,RT @The_Kase Do real thugs have #twitter? #confusedbymytimeline  // Hell no.
22,#Twitter after dark! #GoodNight!! an yall thought a was abt to get #Nasty!!lol
23,Ok bed time. I wish I didn't have an exam on thursday otherwise I would just go around harassing people to vote! lol. Night guys! 
24,@darkknight808 okay! I think little oven again on wednesday!  7-9pm?
25,@BADDchikkENT See What I Mean #Twitter o_O
26,Downy weather  Where's the summer?
27,"I just installed the new Twidroyd for #Twitter on my #Android Phone - It's #Free, give it a try. http://t.co/Xm2blIfC"
28,Wants her camera back! 
29,tks pa 4 &quot;tapauing&quot; croissant tuna knowing dat Ive back-to-back meetings since morning  &amp; Zuraidah tks 4 buying my FAV STARBUCK MOCHA FRAP
30,RT @Its_kcheese: some stuff you only find on #TWITTER lolz
31,tired  i need a regular 9-5
32,@JonathanRKnight how does it feel to have thousands of girls anwering ur every twitter? Must be cool 
33,#Microsoft anuncia SQL Server ODBC Driver para Linux! http://t.co/kDbNjYyB  #MS #Linux #Opensource #SQL #Softwarelibre
34,Tomorrow is my friday!  +it's a late day for me. Thank goodness. 
35,@oliyoung But that requires assembly! Assembly is completely overrated tonight. This is harder than I thought 
36,The Super Red Diva !!!  Stupid University 
37,"@runawaystarling unfort, msn is a douche and a half to me "
38,@scarletjac but not good for me close to my current challenge 
39,misses David actually 
40,yeah guys i will totally bring dublin to the party. he would love the company. 
41,"@Craftysince1990 Lol, that's sweet! I bought tickets last year &amp;&amp; my PartnerInCrime flaked so I didn't end up going  but this, FOR SURE!"
42,"@hwaiting oh it's a random game lol im addicted with that, don't be afraid, join and be my pupil "
43,hitting the gym! afterwards looking forward to rewiring my studio... yet again 
44,"""#twitter's dumb, I don't like it.""  Hush up, Justin."
45,Facebook is becoming trashier and trashier #twitter
46,@DonnieWahlberg 8 more days Wahlberg.. .then it's YOU and ME !!    Finally!!!
47,&lt;------ Branded 
48,"@chazdrums if i know how to do something, and have time... Its so easy to answer "
49,"Oh dear, all the pups died 1 by 1 last night, perhaps it was because Princess rejected them "
50,"ugh, just read on #CNN that they found the Cantu girl's body in a pond near their home. How terrible for her family "
51,Out of my 7 months of actually gettin on #Twitter. I've only been in #TwitterJail lik 3 times.... #ThugLife! They were long sentences! Lol:)
52,"I M La Boheme: NSFW hey guys, spread the word! the green party is in town!  ï¿½I...: hey guy.. http://tinyurl.com/dlevo2"
53,be the change you wish to see in the world 
54,"Top 50 #Twitter Acronyms, Abbreviations and InitialismsÂ http://t.co/nEqHcJsYÂ Â /via @ruhanirabin"
55,@momentbymoment1 - I'm sure you and your site will! 
56,"@josordoni yeah it was good news, a y combinator interview next week! dunno bout the oyster, will just suck it up I guess "
57,@ycsing that's nicki our monday night drag queen... 
58,"#Recruiting Tip: Ask yourself: why am I not building my personal brand on #LinkedIn, #Twitter, and #Facebook?"
59,@pilvlp My luck I'd probably get stopped by a cop or something stupid!  
60,Is feeling like dancing in the rain like a pixie......but the rain stopped  ohh well....lol I'll watch flight of the conchords instead
61,"juggernaut, dr. doom, magneto, &amp; xavier!  ahahah today was a good day n__n"
62,i miss @sebby_peek 
63,@nicolerichie Yea I remember it 
64,#Twitter OFF â˜‘
65,#Microsoft tests and proves #AppSense enterprise scalability! 78K users on one personalization DB - http://t.co/LwFLXASL
66,"@SilkCharm re: #nbn as someone already said, does fiber to the home mean we will all at least be regular now "
67,Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 1
68,@childhoodflames whats wrong! 
69,wow good old classic #HoodMemories some #Classic moments there i had to share on #Twitter
70,"Omni Touch Screen System: going beyond the ""touch screens"" http://t.co/SH2fCwuS  #Featured #Tech&amp;Gadgets #Microsoft #Omnitouch"
71,"@Jenn_Brown haha no, i'm going to play some COD 4 now "
72,#twitter #OFF
73,"Its 11:56 &amp;, im going to sleep now &gt;.&lt; O&#39;well :) good night #Twitter ."
74,... or so I thought....  
75,RT @KattWilliams__: #IReallyHateWhenPeople TyP3 L!k3 tH!S Or #Use #Hashtags #In #Every #Word #On #Twitter
76,RT @OKadeState: @Paigemorse1 tweeted!  Its official she is still alive #Twitter
77,"@DanniAsheOnline I think that would work nicely gurl! go for it! I believe many, many people would sign up! "
78,RT @x_JustLucky_x: I don't know why I even bother checking FB anymore. I stare for two minutes and just log off lol #Twitter&gt;Fb
79,"@ninjen G'Night, youngster. Rest well. "
80,is tooooooooo cold. 
81,@LoriGama that's most excellent  lotsa people loving you hehe *Winks*
82,I might call it a night goodnight #twitter
83,GN #TWITTER
84,@LFTA Got me what again? I'm sorry I can't understand ur last tweet 
85,Stupid 3 year project! feels like you've conquered something then you realised it's only 1 year down 
86,Being able to share our thoughts with the world is awesome&gt;&gt;Hooray for #Twitter
87,"@LizDinkel lol, I figured as much...but you never know. We don't talk anymore, maybe you became easily offended... "
88,RT @cmaneu: #stage #Toulouse #Microsoft #net #SuperBoÃ®te #Win8 #geeks = http://t.co/7UHSLQII (Please RT ;)
89,@lisaholmes you can buy my fiances duplex in Terwillegar 
90,@KristenjStewart just watched the trailer for adventureland on itunes looks so funny!! pity i don't think we get it in Australia 
91,"@Hail_Mary_Jane They banned me so I can't help you myself, hopefully others will "
92,@jamiegirl9 you silly goose...taking the cleveland browns to the superbowl eh?  i'm rootin for ya! 
93,"RT @elishiawindfohr: #Twitter: Each second there are 2900 new tweets, for a total of 250 million per day and 7.5 billion per month. Rate ..."
94,booiiiii twitter
95,cant wait for the hillssssss ! 
96,"@ballookey Recoil pal? I'm a guy like me!  I will grab this up online tomorrow, currently texting from bed like a moron."
97,and so the editing of 3000 wedding shots begins 
98,"Gonna Crash Out Pretty Tired, Night #Twitter&lt;3"
99,#Twitter to Reformat All URLs With T.co	http://t.co/jnmnbs9W
100,On leave today.. taking care of the baby. He is going to be 8 months old 
101,Uploading the greatest cartoon from the Newspaper ever - regarding Twitter. 
102,@caitlindean You should never regret. Things happen for a reason. Figuring out what that reason was is the hard part. Use your friends. 
103,Fuck la circulation ce mat1 
104,@christy8_77 and just when did you arrive? hiya girlie 
105,"It was quick, but exhausting. 1 day @ a time "
106,"I'm adding my fellow PFers.  Nice to see so many of us here, too! "
107,"Chewie update. OCD in left legs fixed, but possible OCD in Right leg as well, and worse still hip dysplasia in both hips  Not good..."
108,listening to then by Brad Paisley! 
109,@pelf81 but work is demanding for so much more 
110,@yopatrizzle Not sure to tell u the truth  it's been so long since I've seen him but ask Sumo's daddy @PAULSKRATCH he has full custody lol
111,RT @_Shelly: mm but yeo .. #twitter .. free up @_tashaaiWESTEND ! free up @_tashaaiWESTEND ! free up @_tashaaiWESTEND !
112,@DylawnWard 100 tweets already? Damn son #twitter #whore #twitwhore #gi #get #it?
113,â€œ@AppSenseTechie: #Microsoft tests and proves #AppSense enterprise scalability! 78K users on one personalization DB - http://t.co/jXhFHPTJâ€
114,on the coach  gonna be fun!
115,"Thank you, me too. Looking forward to reviewing your book @WarrenWhitlock #twitter #authors #socialmedia"
116,Morning everyone! Stuck in registration for a while then assembley! Nayyy 
117,@mpeagler http://t.co/1EYtmczJ @GetGlue #Twitter
118,@sdownes1972 thx Stu will do! 
119,"doesn't want to go to school tomorrow. it's the last day, but it's also twyla's day off "
120,"Had a great lunch with one of my &quot;mums&quot; today, @christineirmler  It's her birthday tomorrow too so I got her a little something"
121,re-booting my room 
122,there is link about how to enjoy dark chocolate within the post..  http://chai-coffee.blogspot.com/2009/04/chocolate-flavoured-math.html
123,"my body's aching to rest, my mind's so freakin alert, my brain can't absorb a damn thing. but i must endure............ sike. gnite "
124,"@JenWeedin listen here, @ShaunaWalters8 is new to #twitter and needs practice.  support her here brat!  #goodsamaritanswag"
125,"@kworkman now that wifey works in a wine shop, I must know what my friends are drinking. Make with the details plz "
126,anyone who reads my twitter is either very into education or bored le crazy! might throw in some naughty words to spruce my page up tehe 
127,Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 29
128,GN #Twitter.......z.z.z.z.z.z Z  Z z z z
129,Thanks to my new followers! 
130,#Microsoft Announces New â€œPlayful Learningâ€ Titles - Wired News : http://t.co/nN8oietT #av
131,@seanporter thank uuu! i know i heard youre in dallas 
132,Good morning #twitter.
133,Can you say #twitter those #followers who are #following me??
134,Sent an email to one of my undergraduate professors - she replied back saying I made her day 
135,@nanalipzz89 BabyKnightOwl  I won't call you Trudy if you don't want it lol I am fine why are you in a bad mood sweetheart?
136,She now wants an mmmf except I have to only play a supporting role  would mind but the other two guys have huge cocks what am I to do? 
137,@mandiebear I promise.I am so tired today I think it'll be an early one for me too. Tis 4pm &amp; I'm stuffed  #blib
138,"@friendlypharm  too bad it's true, for the most part "
139,my dog is in my room SNORING! 
140,Got to do Spanish revision today 
141,@secretfanofu big news Andrew: I'm moving up to SF at the end of the month! So making the most of my last month in LA. 
142,Yahoo Profit Drops 26 Per Cent! http://t.co/Jd3X8SGM #yahoo #microsoft
143,@mrskutcher I keep forgetting you are in a different time zone than normal! I see your 'tweets' about the morning when it's 10:45pm here! 
144,on my way home from a relaxing weekend  to bad it's back to reality :/
145,Off to the doctor's today emily has a rash which looks like the measles 
146,i had 7 hours of sleep and now i cant go back to sleeping  im thirsty
147,@phillyan man ur picture is so small on my phone... I can't tell fropm that...give me a hint 
148,RT @FierceCIO: What happens to #Skype now that it is officially #Microsoft's? http://t.co/9FzSH0RY $MSFT
149,Got to do it!RT @ElderMLTillerJr: I am cracking up at @BishopWSThomas advertising for #Twitter LOL
150,MS Outlook Quick Access Toolbar - How to customize - http://t.co/VzkEdZaC #tips #microsoft
151,I noticed a lot of Apple product placement tonight  #hhrs
152,@ilvdbch yes I've met many a good one. The last one just kinda sucked 
153, now I'm happy 
154,I wanna make the goose bump on your inner thigh show twitter
